lastName,firstName,dateOfBirth,driverID,entitlements
Funk,"",1950-08-27,FUNKX0850,"[""T"", ""N"", ""W"", ""X""]"
Simonis^,"",1991-01-17,SIMOX0191,"[""D""]"
Dach,Marcel,1944-05-26,DACHM0544,"[""A"", ""C"", ""D"", ""B""]"
Greenholt,Connie,1959-07-31,GREEC0759,"[""D"", ""C""]"
Grady,"",1943-09-13,GRADX0943,"[""B""]"
Hoeger,"",1980-01-19,HOEGX0180,"[""A"", ""B"", ""C""]"
Keeling,"",1936-05-28,KEELX0536,"[""C"", ""A"", ""D"", ""B""]"
Koepp,Odell,1950-11-04,KOEPO1150,"[""A"", ""C"", ""D""]"
Bashirian,"",1993-05-07,BASHX0593,"[""A""]"
Barton,"",1984-12-05,BARTX1284,"[""A"", ""C"", ""D"", ""B""]"
Stokes,Van,1980-04-13,STOKV0480,"[""A""]"
Paucek,Vasiliki,1957-03-21,PAUCV0357,"[""A"", ""D""]"
Rogahn,"",1990-04-30,ROGAX0490,"[""G"", ""E"", ""F"", ""O""]"
Gleichner,2024-02-13,2019-03-27,GLEI20319,"[""D""]"
Huel,"",2008-03-18,2024-02-13,"[""C""]"
O'Connell,"",1994-01-10,OCONX0194,"[""C"", ""D""]"
Lang,Tyron,1985-04-13,LANGT0485,"[""C""]"
Breitenberg,"",1955-09-26,BREIX0955,"[""D""]"
Cassin,"",1940-04-13,CASSX0440,"[""D"", ""C"", ""B""]"
"",Clyde,1968-03-27,XXXXC0368,"[""D"", ""C"", ""B""]"
Kub,Les,1942-11-03,KUBXL1142,"[""C"", ""A""]"
Blanda,Caroline,1943-07-27,"","[""C"", ""A"", ""D"", ""B""]"
Emard,"",2002-01-12,EMARX0102,"[""C"", ""D"", ""B"", ""A""]"
Hansen,Jeremiah,1904-12-26,HANSJ1204,"[""D""]"
Zulauf,"",2002-06-03,ZULAX0602,"[""A""]"
Langworth,Chantel,1946-09-05,LANGC0946,"[""C""]"
Connelly,"",2002-12-02,KUNZE554019VQ8OP,"[""D""]"
Weimann,Estela,1975-03-05,WEIME0375,"[""C"", ""D"", ""A"", ""B""]"
Hilpert,Orval,1960-11-16,HILPO1160,"[""D""]"
Leannon,Eustolia,1992-05-11,LEANE0592,"[""B"", ""A""]"
Hauck,"",1956-09-01,HAUCX0956,"[""A"", ""D""]"
Klein,"",1950-07-07,KLEIX0750,"[""A"", ""D"", ""C"", ""B""]"
Bartell,"",1968-12-20,BARTX1268,"[""A""]"
Orn,"",1978-05-19,ORNXX0578,"[""A"", ""C"", ""B"", ""D""]"
Gutkowski,Denny,1935-02-24,GUTKD0235,"[""B"", ""C"", ""A""]"
Hettinger,Kelsie,1952-12-18,HETTK1252,"[""B"", ""A""]"
Pacocha,"",1967-04-12,PACOX0467,"[""B"", ""A""]"
Padberg,"",1999-01-10,PADBX0199,"[""A"", ""B""]"
Nicolas,Carita,1990-07-29,NICOC0790,"[""B"", ""C"", ""A""]"
Mertz,"",1951-03-16,MERTX0351,"[""B"", ""C"", ""A"", ""D""]"
Rempel,"",1958-07-24,REMPX0758,"[""B""]"
Nikolaus,Elissa^,1967-02-05,2024-02-13,"[""D""]"
Quigley,"",1945-02-03,QUIGX0245,"[""C""]"
Prosacco,Harry,1968-12-27,PROSH1268,"[""D""]"
Jacobi,Jonathon,1990-07-31,JACOJ0790,"[""C"", ""A"", ""D""]"
Reilly,Buck,1988-03-31,REILB0388,"[""D"", ""A"", ""B""]"
DuBuque,"",1999-10-10,DUBUX1099,"[""D"", ""C"", ""B"", ""A""]"
2024-02-13,Latosha,1976-06-30,2024L0676,"[""D"", ""A"", ""B"", ""C""]"
Donnelly,Pablo,2014-06-08,DONNP0614,"[""B"", ""A""]"
Reinger,"",1936-12-19,REINX1236,"[""D"", ""B""]"
Greenholt,"",1961-07-22,GREEX0761,"[""B""]"
Price,Foster,1957-09-02,PRICF0957,"[""A"", ""C"", ""D""]"
Hackett,Izetta,1958-07-03,HACKI0758,"[""C""]"
Koss,Shante,1981-12-14,KOSSS1281,"[""A"", ""C"", ""B""]"
DuBuque,Tawanna,1988-07-17,DUBUT0788,"[""B"", ""C"", ""D"", ""A""]"
Koch,Larry,1936-04-02,KOCHL0436,"[""B""]"
Block,Arleen,2020-04-30,BLOCA0420,"[""C""]"
Wilkinson,"",1994-12-09,WILKX1294,"[""C""]"
Buckridge,"",1935-09-06,BUCKX0935,"[""A"", ""D"", ""C"", ""B""]"
Bechtelar,Antonietta,1964-02-05,"","[""C""]"
Torp,Brendan,1956-11-12,TORPB1156,"[""A"", ""B"", ""C"", ""D""]"
"",Ty,2006-01-11,XXXXT0106,"[""C"", ""B""]"
Hauck,Julietta,2000-10-21,HAUCJ1000,"[""C"", ""D"", ""B""]"
Marquardt,Rudolph,1949-05-21,MARQR0549,"[""C"", ""D"", ""A"", ""B""]"
Morissette,Izetta,2006-11-12,MORII1106,"[""D"", ""A"", ""B""]"
Reilly,"",1947-01-08,REILX0147,"[""B"", ""A"", ""C""]"
Hintz,Chana,1958-08-06,HINTC0858,"[""W"", ""H"", ""A"", ""X""]"
Hauck,"",2004-01-15,HAUCX0104,"[""A"", ""B"", ""C""]"
Cruickshank,"",1999-06-12,CRUIX0699,"[""B""]"
Rolfson,"","",ROLFX,"[""H"", ""J"", ""K"", ""F""]"
Stoltenberg,"",1935-04-09,STOLX0435,"[""P"", ""F"", ""W"", ""N""]"
Grant,Melinda,1976-04-03,GRANM0476,"[""B"", ""A""]"
Feeney,Angel,1948-04-20,FEENA0448,"[""A""]"
Jaskolski,"",1996-05-29,JASKX0596,"[""B"", ""C"", ""A"", ""D""]"
Lemke,"",1975-10-26,LEMKX1075,"[""C"", ""A"", ""D"", ""B""]"
Hauck,"",1993-10-13,HAUCX1093,"[""B"", ""A""]"
Fisher,"",2008-08-02,FISHX0808,"[""D""]"
Kub,"",1940-01-01,KUBXX0140,"[""B"", ""C"", ""A"", ""D""]"
Von,Jose,1940-07-21,VONXJ0740,"[""B"", ""D""]"
Bernhard,Lorine,1966-11-19,BERNL1166,"[""D"", ""C""]"
Lesch,"",2007-02-26,LESCX0207,"[""C""]"
Simonis,Lauren,1952-11-13,SIMOL1152,"[""B""]"
Ondricka,"",1992-07-01,ONDRX0792,"[""B"", ""C"", ""D"", ""A""]"
Bogan,"",1950-12-16,BOGAX1250,"[""A"", ""C"", ""B"", ""D""]"
Larson,"",1954-12-07,LARSX1254,"[""C"", ""B"", ""D"", ""A""]"
Brown$,"",1949-08-08,BROWX0849,"[""A"", ""C"", ""B""]"
Satterfield,Kera,1960-10-20,SATTK1060,"[""D"", ""C""]"
Hand,"",1943-10-18,HANDX1043,"[""D""]"
Pfannerstill,Meredith,1961-02-18,PFANM0261,"[""A""]"
"","",1950-09-18,XXXXX0950,"[""A"", ""B""]"
Herzog!,Zulma,1950-11-24,HERZZ1150,"[""B""]"
Greenholt,Leroy,2004-02-22,GREEL0204,"[""D"", ""A"", ""C"", ""B""]"
Hand,Glenn,1987-11-14,HANDG1187,"[""C"", ""D"", ""B""]"
Rosenbaum,"",1942-07-11,ROSEX0742,"[""D"", ""A"", ""C"", ""B""]"
Barton,"",1944-08-12,BARTX0844,"[""D"", ""B"", ""C"", ""A""]"
Hermann,"",1967-02-01,HERMX0267,"[""B"", ""D"", ""C""]"
Klocko,Kareen,1960-11-13,KLOCK1160,"[""B"", ""C"", ""D"", ""A""]"
Pagac,"",1999-04-24,PAGAX0499,"[""C""]"
Durgan,"",1956-01-29,2024-02-13,"[""C""]"
Gleichner,"",2007-07-25,GLEIX0707,"[""D""]"
Mayert,"",1995-03-04,MAYEX0395,"[""A"", ""C""]"
Ryan,Lazaro,1955-05-28,RYANL0555,"[""C"", ""B"", ""A""]"
Lubowitz,"",1948-03-19,LUBOX0348,"[""B"", ""C""]"
Huels,"",2007-01-26,HUELX0107,"[""B"", ""C""]"
Moen,"",1934-08-08,MOENX0834,"[""D""]"
Kassulke,2024-02-13,1966-05-03,KASS20566,"[""C""]"
Powlowski,"",2000-09-17,POWLX0900,"[""C""]"
Aufderhar,"",1982-07-04,AUFDX0782,"[""B"", ""A"", ""C"", ""D""]"
Keebler,"",1945-11-26,KEEBX1145,"[""B"", ""A""]"
Senger,"",2008-11-27,SENGX1108,"[""A""]"
Crona,Tifany,2016-04-20,CRONT0416,"[""C"", ""B"", ""D""]"
O'Reilly,Normand,2002-04-25,OREIN0402,"[""B"", ""A""]"
Pollich,Frankie,2001-09-23,POLLF0901,"[""C"", ""A""]"
Hyatt,Maud,1975-06-05,HYATM0675,"[""A"", ""G"", ""H"", ""Q""]"
Kuvalis,"",1965-09-11,KUVAX0965,"[""A"", ""D"", ""C""]"
Labadie,Leighann,2000-10-20,LABAL1000,"[""C"", ""B""]"
Jacobs,"",1948-07-19,JACOX0748,"[""C"", ""A"", ""B"", ""D""]"
Morissette,"",1951-01-14,MORIX0151,"[""B""]"
Toy,Shelby,1990-06-03,TOYXS0690,"[""C"", ""B""]"
Dooley,"",2005-10-14,DOOLX1005,"[""D"", ""C"", ""B"", ""A""]"
Muller,Adolph,1938-08-01,MULLA0838,"[""A"", ""D""]"
Becker,"",1965-04-08,BECKX0465,"[""C"", ""A"", ""D""]"
Mayert,Orval,1949-03-16,MAYEO0349,"[""C""]"
Jakubowski,Lorelei,1999-08-20,JAKUL0899,"[""D"", ""A"", ""B"", ""C""]"
Ferry,"",1947-12-20,FERRX1247,"[""A"", ""B"", ""C"", ""D""]"
Cartwright,"",1936-06-15,CARTX0636,"[""D"", ""A"", ""C"", ""B""]"
Mosciski,"",1971-12-14,MOSCX1271,"[""B"", ""D""]"
Casper,Krissy,1993-07-15,CASPK0793,"[""D"", ""C"", ""B""]"
Krajcik,"",1985-04-24,KRAJX0485,"[""A"", ""D"", ""C""]"
Metz,Vincent,1960-01-10,METZV0160,"[""B"", ""A"", ""D""]"
Rice,"",1976-09-11,RICEX0976,"[""D""]"
Abshire,"",1980-04-15,ABSHX0480,"[""D"", ""B""]"
"","",1951-02-14,XXXXX0251,"[""C""]"
King,"",1939-01-07,KINGX0139,"[""C"", ""D""]"
Jakubowski,"",1942-01-01,JAKUX0142,"[""A"", ""C"", ""D"", ""B""]"
Kerluke,"",1992-02-11,KERLX0292,"[""D"", ""B""]"
Balistreri^,"",1974-06-30,BALIX0674,"[""D"", ""A"", ""C"", ""B""]"
Christiansen,Booker,1936-06-10,CHRIB0636,"[""A""]"
Anderson,"",1995-04-16,ANDEX0495,"[""A"", ""C""]"
Trantow,"",1950-09-04,TRANX0950,"[""U"", ""Y"", ""A"", ""C""]"
Flatley,Rona,1964-02-16,FLATR0264,"[""A""]"
Wunsch,"",1965-10-27,WUNSX1065,"[""A"", ""B""]"
Macejkovic,"",1934-02-13,MACEX0234,"[""D"", ""C""]"
Keeling,"",1955-08-10,KEELX0855,"[""C""]"
Ruecker,2024-02-13,1988-05-30,RUEC20588,"[""G"", ""D"", ""H"", ""X""]"
Stroman,Dana,1965-07-21,STROD0765,"[""A"", ""B""]"
Ratke,Brock,1974-06-07,RATKB0674,"[""A"", ""D""]"
Schmidt,"",1983-01-06,2024-02-13,"[""C"", ""A""]"
Stamm,"",1994-10-15,STAMX1094,"[""B""]"
Daniel,"",1939-11-02,DANIX1139,"[""A"", ""D""]"
McGlynn,Lala,1943-05-07,"","[""A""]"
Moen,"","",MOENX,"[""A"", ""D"", ""B""]"
Stamm,Sergio,1996-05-07,MCCLU607115XS8AI,"[""A""]"
Fritsch,"",1963-04-11,FRITX0463,"[""B"", ""A""]"
Emard,Amie,1967-05-10,EMARA0567,"[""A"", ""C"", ""D""]"
Stehr,Terrell,1983-09-18,STEHT0983,"[""A"", ""B""]"
Kautzer,Robin,1994-10-27,KAUTR1094,"[""C""]"
Shanahan,Cris,2008-12-12,SHANC1208,"[""D"", ""A"", ""C""]"
Schimmel,Floretta,1944-08-18,SCHIF0844,"[""A"", ""B"", ""D"", ""C""]"
Ledner,"",1973-09-28,LEDNX0973,"[""C"", ""G"", ""F"", ""D""]"
Mueller,Keven,1958-12-16,MUELK1258,"[""C""]"
O'Hara,"",1939-08-25,OHARX0839,"[""N"", ""R"", ""H"", ""M""]"
Blick,"",2006-09-26,BLICX0906,"[""A"", ""D""]"
2024-02-13,"",2004-01-31,2024X0104,"[""C""]"
McKenzie,Jere,2008-03-18,MCKEJ0308,"[""C"", ""D""]"
Daugherty,Holli,1951-05-25,DAUGH0551,"[""C"", ""B""]"
Oberbrunner,"",1938-07-23,OBERX0738,"[""B""]"
Larson,"",1996-01-28,LARSX0196,"[""D"", ""C"", ""A"", ""B""]"
Walsh,Aron,1958-05-16,WALSA0558,"[""C""]"
Schamberger,Ginger,1951-06-09,SCHAG0651,"[""C"", ""D"", ""B""]"
Mante,Lauryn,1976-01-31,MANTL0176,"[""B"", ""A"", ""D"", ""C""]"
Yundt,Ann,1979-01-24,YUNDA0179,"[""A"", ""B"", ""C""]"
Hilll,Royce,1982-01-02,HILLR0182,"[""D""]"
Schmitt,"",1961-01-18,SCHMX0161,"[""D""]"
Wolf,Arnoldo,1945-05-08,WOLFA0545,"[""D""]"
Williamson,Reggie,2006-01-12,WILLR0106,"[""C""]"
Heaney,Carrol,2008-01-03,HEANC0108,"[""B"", ""A"", ""D"", ""C""]"
Feil,"",1984-10-22,FEILX1084,"[""A"", ""D""]"
Schamberger,Sherell,1959-12-28,SCHAS1259,"[""C""]"
Batz,Chi,1941-03-13,BATZC0341,"[""D"", ""C"", ""A"", ""B""]"
Bogisich,Irvin,1970-04-10,BOGII0470,"[""C"", ""D"", ""A""]"
Satterfield,"",1952-02-16,SATTX0252,"[""C"", ""B"", ""D""]"
Luettgen,"",1974-12-09,LUETX1274,"[""C"", ""B"", ""A""]"
Jenkins,"",1966-10-19,JENKX1066,"[""D"", ""C""]"
Adams,"",1955-02-02,ADAMX0255,"[""C"", ""A"", ""B"", ""D""]"
Sauer,Micah,1948-12-16,SAUEM1248,"[""D"", ""B"", ""C"", ""A""]"
Cormier,"",1993-07-08,CORMX0793,"[""A""]"
Senger,Kim,1992-06-16,SENGK0692,"[""B"", ""D"", ""C"", ""A""]"
Bosco,Wilfredo,1977-03-10,BOSCW0377,"[""D""]"
Lowe,Benedict,1991-03-30,LOWEB0391,"[""B""]"
Streich,"",1950-07-24,STREX0750,"[""A"", ""C""]"
Konopelski,Heidi,1987-08-26,KONOH0887,"[""D"", ""B""]"
Shanahan,"",1937-10-26,SHANX1037,"[""A"", ""B"", ""D"", ""C""]"
Connelly,"",1946-10-12,CONNX1046,"[""B"", ""C"", ""A"", ""D""]"
Waters,"",1989-02-03,WATEX0289,"[""C"", ""B"", ""D""]"
Towne,Maria,1942-03-31,TOWNM0342,"[""B""]"
Kuhn,Joe,1937-08-06,KUHNJ0837,"[""B"", ""D"", ""A""]"
Stamm,Jefferson,1989-07-09,STAMJ0789,"[""A"", ""D"", ""B"", ""C""]"
Beer,Shavon,1977-11-09,BEERS1177,"[""D"", ""C"", ""A"", ""B""]"
Hand,Katia,2021-04-15,HANDK0421,"[""C"", ""B""]"
Farrell,Arlyne,1967-04-23,FARRA0467,"[""C"", ""D"", ""B""]"
Cole,"",1993-12-18,COLEX1293,"[""A"", ""B"", ""C"", ""D""]"
Pfeffer,"",1957-11-25,PFEFX1157,"[""B""]"
Muller,"",1990-12-16,MULLX1290,"[""D"", ""C"", ""A"", ""B""]"
Aufderhar,Oralia,1947-02-24,AUFDO0247,"[""C"", ""A""]"
Jacobi,Bo,1967-11-16,JACOB1167,"[""C"", ""D""]"
"","",1991-03-30,XXXXX0391,"[""B""]"
Wisozk,"",1985-01-06,WISOX0185,"[""B"", ""D"", ""A"", ""C""]"
Herzog,"",1956-12-29,HERZX1256,"[""A"", ""B"", ""C"", ""D""]"
Parker,"",1951-06-14,PARKX0651,"[""C"", ""D"", ""B""]"
Torp,"",1941-12-24,TORPX1241,"[""C"", ""A"", ""B"", ""D""]"
Leannon,"","",LEANX,"[""B"", ""A"", ""C"", ""D""]"
Kautzer,Hermila,1937-03-19,KAUTH0337,"[""C"", ""D""]"
Stamm,Tyree,1997-08-28,STAMT0897,"[""C""]"
Rogahn,Esteban,2000-08-21,ROGAE0800,"[""A"", ""C""]"
O'Hara,"",1940-02-18,OHARX0240,"[""B""]"
Hamill,"",1950-04-25,HAMIX0450,"[""A"", ""D"", ""B""]"
Emard,Ria,1943-05-20,EMARR0543,"[""D"", ""A""]"
Kozey,"",1999-03-31,KOZEX0399,"[""C"", ""D""]"
Kris,"",1983-10-15,KRISX1083,"[""A"", ""D"", ""B"", ""C""]"
"",Nestor,2008-10-12,XXXXN1008,"[""A"", ""B""]"
Ferry,Derek,1956-09-14,FERRD0956,"[""D"", ""B"", ""A""]"
Hammes,"",1997-01-19,HAMMX0197,"[""A"", ""C""]"
Dicki,Carmon,1983-07-31,DICKC0783,"[""C"", ""A""]"
Murazik,Santos,1962-08-22,MURAS0862,"[""D"", ""B"", ""A""]"
Cruickshank,Travis,2003-12-30,CRUIT1203,"[""A"", ""C"", ""K"", ""L""]"
Heathcote,"",1936-03-31,HEATX0336,"[""B"", ""D"", ""C""]"
"",Warner,1978-01-07,XXXXW0178,"[""C"", ""B"", ""A"", ""D""]"
Cummerata,Tatyana,1966-12-09,CUMMT1266,"[""C""]"
Prosacco,Edgardo,2007-07-02,PROSE0707,"[""A"", ""D"", ""C""]"
Pfeffer,Angila,1956-09-04,PFEFA0956,"[""B"", ""D"", ""C"", ""A""]"
Wolf,"",2007-04-23,WOLFX0407,"[""A"", ""C"", ""B""]"
Gerhold*,"",1946-07-20,GERHX0746,"[""A""]"
Jast,"",1970-02-15,JASTX0270,"[""C"", ""D""]"
Willms,Donovan,1943-03-11,WILLD0343,"[""D"", ""B""]"
Gutmann,Darren,2015-03-24,GUTMD0315,"[""C"", ""A"", ""D"", ""B""]"
Wehner,"",1949-09-26,WEHNX0949,"[""A"", ""D""]"
Ferry,Katie,1986-07-15,FERRK0786,"[""C"", ""B""]"
Gutmann,"",1973-07-02,GUTMX0773,"[""B"", ""D"", ""A"", ""C""]"
MacGyver,"",1940-10-29,MACGX1040,"[""D"", ""A"", ""C""]"
Johnson,Duane,1996-02-18,JOHND0296,"[""B"", ""A"", ""C""]"
Stroman,Layne,1988-12-30,STROL1288,"[""A"", ""C""]"
Paucek,"",1935-11-23,PAUCX1135,"[""C"", ""B"", ""D""]"
Botsford,"",1951-03-23,BOTSX0351,"[""C"", ""A""]"
Weimann,"",1948-03-31,WEIMX0348,"[""D"", ""A"", ""C""]"
2024-02-13,Alta,1953-12-05,2024A1253,"[""B"", ""C"", ""D""]"
Deckow,Kylee,1976-02-17,DECKK0276,"[""A"", ""B"", ""C""]"
Rowe,"",1970-12-14,ROWEX1270,"[""B"", ""A"", ""C"", ""D""]"
Collier,"",1992-03-18,COLLX0392,"[""S"", ""X"", ""I"", ""P""]"
Torp,"",1956-06-05,TORPX0656,"[""C"", ""B"", ""D"", ""A""]"
Okuneva,Eura,1956-08-29,OKUNE0856,"[""A""]"
Weber,Sonny,1945-06-12,WEBES0645,"[""C""]"
O'Hara,"",1984-07-09,OHARX0784,"[""A"", ""C""]"
Brakus,Caleb,1950-11-07,BRAKC1150,"[""D""]"
Cartwright,Anthony,1974-11-05,CARTA1174,"[""C"", ""D"", ""B""]"
Nicolas,"",1985-03-08,NICOX0385,"[""A""]"
Greenfelder,Khalilah,1964-10-16,GREEK1064,"[""C""]"
Reilly£,"",1950-06-01,REILX0650,"[""C"", ""B"", ""D""]"
Collins,"",1992-09-29,COLLX0992,"[""C"", ""B"", ""D"", ""A""]"
Grimes,Tomi,2007-06-19,GRIMT0607,"[""D"", ""C""]"
Schuppe,"",1963-06-17,SCHUX0663,"[""D"", ""A"", ""C""]"
Nolan,Keven,1868-05-11,NOLAK0568,"[""D"", ""C""]"
Cormier,Letisha,1977-07-07,CORML0777,"[""C"", ""B"", ""A""]"
Stracke,"",1997-12-09,STRAX1297,"[""B"", ""D"", ""A"", ""C""]"
Lang,"",1964-08-14,LANGX0864,"[""D"", ""C"", ""B"", ""A""]"
Pouros,Trent,1904-12-17,POURT1204,"[""B"", ""C"", ""D""]"
Johns,Dawne,1986-04-04,JOHND0486,"[""A"", ""D""]"
Kling,"",1951-10-01,KLINX1051,"[""Q"", ""O"", ""R"", ""K""]"
Rau,"",1947-12-02,RAUXX1247,"[""A"", ""B""]"
Cormier,Seth,2000-11-03,CORMS1100,"[""C"", ""B"", ""D""]"
"",Bud,1954-05-19,XXXXB0554,"[""A""]"
Harvey,Adalberto,1965-11-21,HARVA1165,"[""A"", ""D""]"
Moen,2024-02-13,1939-05-07,MOEN20539,"[""F"", ""N"", ""E"", ""G""]"
Grady,Elvis,2017-03-03,GRADE0317,"[""D""]"
Wintheiser,"","",WINTX,"[""C""]"
Ryan,Sandy,1992-05-10,RYANS0592,"[""B"", ""C"", ""A""]"
Jones,"",1948-05-08,JONEX0548,"[""D""]"
Lesch,Willie,1967-02-18,LESCW0267,"[""B"", ""D""]"
Goyette,Isidro,2008-04-28,GOYEI0408,"[""C""]"
Kreiger,Elinore,1955-07-15,KREIE0755,"[""A""]"
McGlynn,Marianna,1944-12-25,MCGLM1244,"[""D"", ""A"", ""C""]"
Herzog,"",1978-06-30,HERZX0678,"[""D"", ""C"", ""A"", ""B""]"
Sauer,"",2017-11-24,SAUEX1117,"[""M"", ""R"", ""E"", ""S""]"
Buckridge,"",1995-07-13,BUCKX0795,"[""C"", ""A"", ""D"", ""B""]"
"",Abraham,1841-03-15,XXXXA0341,"[""C"", ""B"", ""D"", ""A""]"
Ullrich,"",1976-02-13,ULLRX0276,"[""C"", ""A"", ""D"", ""B""]"
Quitzon^,"",1980-12-24,QUITX1280,"[""A""]"
Kulas,Leoma,1976-02-22,KULAL0276,"[""C"", ""D""]"
Crist,"",1948-12-16,CRISX1248,"[""B"", ""D""]"
Brakus,Delores,1984-07-16,BRAKD0784,"[""B""]"
Wisozk,"",1987-09-05,WISOX0987,"[""B"", ""C"", ""A"", ""D""]"
Fay,Walter,1945-02-28,FAYXW0245,"[""C""]"
Turcotte,"",2008-05-08,TURCX0508,"[""D"", ""A""]"
Marvin,Steve,2008-11-14,MARVS1108,"[""B""]"
Balistreri,Marva,1941-11-30,BALIM1141,"[""C"", ""A"", ""B"", ""D""]"
Dickens,"",1963-11-05,DICKX1163,"[""C""]"
Bayer,Margo,1956-03-06,BAYEM0356,"[""C""]"
"",Waylon,1982-05-01,XXXXW0582,"[""D"", ""A"", ""B""]"
Kutch,"",1948-06-17,KUTCX0648,"[""A"", ""B"", ""C""]"
Kuphal*,"",1994-06-28,KUPHX0694,"[""C"", ""A"", ""B"", ""D""]"
Kreiger,"",1980-03-23,KREIX0380,"[""C"", ""D"", ""B"", ""A""]"
Willms,"",2006-03-14,WILLX0306,"[""B"", ""C"", ""A""]"
Stroman,Kandace,1959-06-25,STROK0659,"[""A""]"
Gibson,"",1997-07-31,GIBSX0797,"[""B"", ""D"", ""C"", ""A""]"
Douglas,Jessie,1959-06-03,DOUGJ0659,"[""A"", ""C"", ""D""]"
Prosacco,Sandi,1952-03-14,PROSS0352,"[""B""]"
Padberg,Marvin,1943-12-17,PADBM1243,"[""A"", ""B"", ""D""]"
Erdman,"",1982-04-08,ERDMX0482,"[""D"", ""A"", ""B"", ""C""]"
Gulgowski,"",1999-12-05,WHITE953115MR4HJ,"[""A"", ""B"", ""C""]"
Wiza,"",1957-07-08,WIZAX0757,"[""B"", ""D"", ""C""]"
Crona,Sammie,1995-06-16,CRONS0695,"[""X"", ""A"", ""G"", ""M""]"
Abshire,"",2003-07-05,ABSHX0703,"[""D"", ""B""]"
Von,Ola,1978-05-31,VONXO0578,"[""E"", ""W"", ""N"", ""U""]"
Cummings,"",2005-12-09,CUMMX1205,"[""B"", ""C"", ""A"", ""D""]"
Reichert,Vanna,1981-09-03,REICV0981,"[""A"", ""B"", ""C""]"
Stehr,Chung,1961-03-23,STEHC0361,"[""B"", ""C"", ""D"", ""A""]"
McDermott,"",1946-05-04,MCDEX0546,"[""B"", ""D"", ""A"", ""C""]"
Conroy,Mickey,1990-12-29,GLOVE854156VK4WC,"[""Q"", ""O"", ""Z"", ""W""]"
Smith,Marcellus,1952-11-13,SMITM1152,"[""A"", ""B""]"
